제목,저자,역자,출간일,페이지,정가,판가,마일리지
우리가 시를 처음 쓴다면 그건 분명 윤동주일 거야: 『하늘과 바람과 별과 시』 필사,"윤동주 , 유한빈(펜크래프트) , 콰야 ",--,20210405,196,13800,12420,690
젠더 모자이크,"다프나 조엘 , 루바 비칸스키 ", 김혜림 ,20210405,264,16500,14850,825
나 아직 안 죽었다,김재완 ,--,20210402,232,14500,13050,725
스파크를 활용한 실시간 처리,"제러드 마스 , 프랑수아 가릴로 ", 김인범 ,20210402,472,38000,34200,1900
게임 엔진 블랙 북 : 둠,파비앙 상글라르 , 박재호 ,20210401,472,42000,37800,2100
만만한 통계 : R 활용,"닐 J. 샐카인드 , 레슬리 A. 쇼 ", 김재경 ,20210401,500,28000,28000,840
러닝 SQL,앨런 볼리외 ," 류수미 , 송희정 ",20210330,456,30000,27000,1500
이야기로 배우는 구글 빅쿼리,"구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ", 정인식 ,20210330,256,20000,18000,1000
저는 심리학이 처음인데요(개정판),강현식 , --,20210330,454,18000,16200,900
저는 인문학이 처음인데요(개정판),박홍순 , --,20210330,478,18000,16200,900
쓰면서 익히는 알고리즘과 자료구조,윤대석 ,--,20210329,388,26000,23400,1300
오늘부터 달리기를 합니다,이진이(지니코치) ,--,20210325,152,14800,13320,740
찾아도 찾아도 끝판왕 집중력 미로찾기 101,매튜 스캇 ,--,20210325,104,8000,7200,400
찾아도 찾아도 끝판왕 창의력 미로찾기 101,록리지 프레스 ,--,20210325,104,8000,7200,400
몽고DB 완벽 가이드(3판),"크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ", 김인범 ,20210322,600,36000,32400,1800
어린이를 위한 초등 자기주도 공부법×배움공책,"이은경 , 이성종 ",--,20210320,188,14800,13320,740
기술의 시대,"브래드 스미스 , 캐럴 앤 브라운 ", 이지연 ,20210315,544,25000,22500,1250
맛있는 디자인 프리미어 프로 CC 2021,"정지원 , 심수진 , 윤성우 , 김덕영 ",--,20210312,484,24000,21600,1200
GAN 첫걸음,타리크 라시드 , 고락윤 ,20210310,280,25000,22500,1250
디노 첫걸음,페르난도 돌리오 , 우정은 ,20210310,160,17000,15300,850
맛있는 디자인 일러스트레이터 CC 2021,빨간고래(박정아) ,--,20210309,504,24000,21600,1200
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈 ,--,20210307,512,27000,27000,810
사실은 사랑받고 싶었어,"박재연 , 박성혜(그림) ",--,20210305,244,14800,13320,740
한글처럼 쉬운 중국어,"김원재 , 강은주 ",--,20210305,156,18000,18000,540
회계원리,"이기호 , 이정엽 , 전홍준 ",--,20210305,332,23000,23000,690
대한민국 부동산 미래지도,김학렬(빠숑) ,--,20210304,704,33500,30150,1675
맛있는 디자인 애프터 이펙트 CC 2021,이수정 ,--,20210303,500,24000,21600,1200
맛있는 디자인 포토샵 CC 2021,"윤이사라(포완카) , 김신애 ",--,20210303,448,21000,18900,1050
상위 1% 아이가 하고 있는 서울대 아빠식 문해력 독서법,"이재익 , 김훈종 ",--,20210302,388,16800,15120,840
이것이 안드로이드다 with 코틀린(개정판),고돈호 , --,20210302,768,34000,30600,1700
친절한 딥러닝 수학,다테이시 겐고 , 김형민 ,20210302,356,28000,25200,1400
누구 먼저 살려야 할까,제이콥 M. 애펠 , 김정아 ,20210228,396,17800,16020,890
모션 그래픽&영상 디자인 강의 with 애프터 이펙트(10년차 디자이너에게 1:1로 배우는),장유민 ,--,20210225,344,26000,23400,1300
알기쉬운 회계원리의 기초(3판),"김혁 , 윤승준 , 이원강 ",--,20210225,404,26000,26000,780
최신 원가회계,"정재권 , 서한결 , 곽종민 ",--,20210225,444,28000,28000,840
"IT CookBook, C 언어 일취월장(2판)",신윤환 , --,20210224,800,28000,28000,840
소비자행동,김학윤 ,--,20210223,660,35000,35000,1050
재미있고 빠른 어휘력 동화 – 두근두근 이 마음은 뭘까,"김세실 , 김도윤(그림) ",--,20210220,104,12000,10800,600
재미있고 빠른 어휘력 동화 – 키득키득 재밌는 의성어 의태어,"김예실 , 김희선(그림) ",--,20210220,104,12000,10800,600
웹 애플리케이션 보안,앤드루 호프먼 , 최용 ,20210219,372,30000,27000,1500
